interaction_id,userId,productId,session_id,action_type,timestamp,view_duration,rating,product_name,category,brand,description,search_query,current_price,discount_percent,in_stock,preference_score
I3200,U002,B07XSH8ND1,S1276,cart,2025-07-01 04:22:43,244,4.0,"Universal Companion Remote Control for Samsung, Vizio, LG, Sony, Roku, Apple TV, RCA, Panasonic, Smart TVs, Streaming Players, Blu-ray, DVD, 4 Device, Flip & Slide Fire TV, Black, SRP2024A/27",Streaming Devices,Philips,"Looking for the best in Item? The Universal Companion Remote Control for Samsung, Vizio, LG, S... by PHILIPS provides exceptional value and reliability. Built to last.",amazon fire tv stick 4k,13.86,5,98,3.807
I3876,U015,B0CDBYFH81,S8124,purchase,2025-07-01 04:22:43,164,3.9,Meebook E-Reader M7 | 6.8' Eink Carta Screen | 300PPI Smart Light | Android 11 | Ouad Core Processor | Out Speaker | Support Google Play Store | 3GB+32GB Storage | Micro-SD Slot | Gray,E-Readers,Meebook,Looking for the best in Item? The Meebook E-Reader M7 | 6.8' Eink Carta Screen | 300PPI Smart ... by Premium Quality provides exceptional value and reliability. Built to last.,kindle paperwhite 2024,189.0,20,72,5.531
I3284,U001,B081NV7W7D,S7176,view,2025-07-01 04:22:43,90,3.0,"MightySkins Carbon Fiber Skin for Amazon Fire TV Stick 4K - Floral Retro | Protective, Durable Textured Carbon Fiber Finish | Easy to Apply, Remove, and Change Styles | Made in The USA",Streaming Devices,Mightyskins,Discover the ultimate Item experience with Premium Quality. The MightySkins Carbon Fiber Skin for Amazon Fire TV Stick 4K - ... combines sleek design with outstanding performance.,amazon fire tv stick 4k,11.99,15,129,1.276
I485,U015,B0DJYGWN65,S3161,view,2025-07-01 04:22:43,164,4.2,"Apple iPhone 15, 256GB, Pink for Cricket Wireless (Renewed)",Smartphones,Apple,"Upgrade your lifestyle with the Premium Quality Apple iPhone 15, 256GB, Pink for Cricket Wireless (Renewed). Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",iphone 15,547.0,15,86,1.5310000000000001
I4067,U016,B0DN12KX4L,S5027,view,2025-07-01 04:22:43,16,4.0,"Case for Kindle Paperwhite 12th Gen 2024. Kindle Colorsoft Signature Edition, Lightweight PU Leather Rotating Stand Protective Soft Cover, Just One More Chapter",E-Readers,Kindle,Looking for the best in Item? The Case for Kindle Paperwhite 12th Gen 2024. Kindle Colorsoft S... by Premium Quality provides exceptional value and reliability. Built to last.,kindle paperwhite 2024,17.99,0,96,1.021
I2395,U013,B0F5WS7HNV,S7349,view,2025-07-01 04:22:43,300,4.8,"2 Pack MX Master 3/3S Wireless Gaming Mouse Feet Sliding Stickers, Wear-Resistant Smooth Mice Glass Skates Pad Compatible with Logitech Mouse Feet Replacement (Glide Mice Skates, White PTFE)",Computer Accessories,Logitech,"Upgrade your lifestyle with the Premium Quality 2 Pack MX Master 3/3S Wireless Gaming Mouse Feet Sliding Sti.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",logitech mx master 3s mouse,8.99,20,123,2.0
I1240,U005,B081D5HK1G,S6006,view,2025-07-01 04:22:43,170,4.4,Sony WH-XB900N Wireless Noise Canceling Over-the-Ear Headphones - Black.WHTBOX (Renewed),Audio & Speakers,Sony,"Upgrade your lifestyle with the Premium Quality Sony WH-XB900N Wireless Noise Canceling Over-the-Ear Headpho.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",sony wh-1000xm5 headphones,156.47,15,65,1.552
I2541,U007,B079NTBXP5,S9113,cart,2025-07-01 04:22:43,83,4.5,Logitech Wireless Mouse M310 (Flame Red) (Renewed),Computer Accessories,Logitech,"Upgrade your lifestyle with the Premium Quality Logitech Wireless Mouse M310 (Flame Red) (Renewed). Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",logitech mx master 3s mouse,12.99,20,39,3.252
I3953,U001,B0DM1G9FPJ,S9206,view,2025-07-01 04:22:43,182,4.1,"Case for 7"" All-New Kindle Paperwhite (12th Generation, 2024) and Kindle Colorsoft Signature Edition, UUcovers Slim Lightweight Shell Smart PU Leather Shockproof Cover with Auto Sleep/Wake, Dark Blue",E-Readers,Kindle,"Upgrade your lifestyle with the Premium Quality Case for 7"" All-New Kindle Paperwhite (12th Generation, 2024.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",kindle paperwhite 2024,23.99,20,104,1.593
I652,U008,B0DWSRMS98,S2809,cart,2025-07-01 04:22:43,262,3.7,"Apple iPhone 15, 256GB, Black for Cricket Wireless (Renewed Premium)",Smartphones,Apple,"Discover the ultimate Item experience with Premium Quality. The Apple iPhone 15, 256GB, Black for Cricket Wireless (Renewed ... combines sleek design with outstanding performance.",iphone 15,589.99,0,98,3.8689999999999998
